,pred_win,actual_win,pred_rank,actual_rank
HOU,131,107,1,1
LAN,128,106,2,2
NYA,115,103,3,3
MIN,106,101,7,4
ATL,106,97,8,5
TBA,107,96,6,6
OAK,97,96,12,7
WAS,113,93,4,8
CLE,103,93,9,9
SLN,75,90,19,10
MIL,75,89,18,11
NYN,97,86,11,12
ARI,79,85,14,13
CHN,99,84,10,14
BOS,109,83,5,15
PHI,81,81,13,16
TEX,73,78,20,17
SFN,62,77,24,18
CIN,76,75,17,19
ANA,78,72,15,20
CHA,54,71,26,21
COL,77,71,16,22
SDN,63,70,23,23
PIT,63,69,22,24
SEA,65,68,21,25
TOR,57,67,25,26
KCA,41,59,27,27
MIA,26,57,30,28
BAL,36,54,28,29
DET,33,47,29,30
